,Player,player_name,All_NBA,All_Star,Draft_Yr,Pk,Team,College,Yrs,Games_Career,Minutes_Played_Career,PTS_Career,TRB_Career,AST_Career,FG_Percentage,TP_Percentage,FT_Percentage,Minutes_per_Game,Points_Per_Game,TRB_per_Game,Assists_per_Game,Win_Share,WS_per_game,BPM_Career,VORP_Career,Executive,exec_name,Prior_Player,ethnic,Tenure,tenure_years,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
93,CliffHiggins,cliffhiggins,0,0,1984,147,GSW,"California State University, Northridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
94,PaulBrozovich,paulbrozovich,0,0,1984,169,GSW,"University of Nevada, Las Vegas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
95,MitchArnold,mitcharnold,0,0,1984,192,GSW,"California State University, Fresno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
96,TimBell,timbell,0,0,1984,213,GSW,"University of California, Riverside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,9,1,0,0,0,0,0
97,ChrisMullin,chrismullin,4,5,1985,7,GSW,St. John's University,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
98,BradWright,bradwright,0,0,1985,49,GSW,"University of California, Los Angeles",2,16,145,54,54,1,0.412,0,0.429,9.1,3.4,3.4,0.1,-0.1,-0.045,-10.3,-0.3,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
99,LusterGoodwin,lustergoodwin,0,0,1985,71,GSW,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
100,GregCavener,gregcavener,0,0,1985,95,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
101,GeraldCrosby,geraldcrosby,0,0,1985,117,GSW,University of Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
102,EricBoyd,ericboyd,0,0,1985,141,GSW,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,10,1,0,0,0,0,0
103,MikeWilliams,mikewilliams,0,0,1986,51,GSW,Bradley University,1,21,102,15,23,2,0.333,0,0.5,4.9,0.7,1.1,0.1,0,0.012,-5.9,-0.1,AlAttles,alattles,1,AA,3641,9.98,1,11,1,0,0,0,0,0
104,BobbyLeeHurt,bobbyleehurt,0,0,1986,121,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,11,1,0,0,0,0,0
105,ChrisWashburn,chriswashburn,0,0,1986,3,GSW,North Carolina State University,2,72,645,222,176,22,0.412,0,0.439,9,3.1,2.4,0.3,-0.6,-0.046,-7.9,-1,AlAttles,alattles,1,AA,3641,9.98,1,11,1,0,0,0,0,0
106,WendellAlexis,wendellalexis,0,0,1986,59,GSW,Syracuse University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,11,1,0,0,0,0,0
